country,jsd
Albania,0.25878021673848567
Andorra,0.337222422225232
Angola,0.21321704888081966
Argentina,0.21825041259203165
Armenia,0.2670530494759387
Australia,0.24708428050917017
Austria,0.22741080873048936
Azerbaijan,0.3771971693394739
Bangladesh,0.3245663978743113
Belarus,0.3037509910935028
Belgium,0.3181223108183202
Bolivia,0.26871121043929963
Bosnia Herzegovina,0.2495632894216354
Brazil,0.24915639551163632
Britain,0.18247625731439776
Bulgaria,0.24281630539854923
Burkina Faso,0.22790730224082162
Canada,0.2435852889614402
Chile,0.20846984214061934
China,0.28551491738809087
Colombia,0.2939335399921564
Croatia,0.2459733529689386
Cyprus,0.24988022972104335
Czech Rep.,0.21706976880631135
Czechia,0.24097180872586693
Denmark,0.34795175776906584
Ecuador,0.3206773947103215
Egypt,0.2772238165413322
El Salvador,0.28670559192215966
Estonia,0.2725438808564931
Ethiopia,0.30781128620964787
Finland,0.2842565884059284
France,0.18623154226440067
Georgia,0.2898699624710062
Germany,0.24838071200375922
Ghana,0.25297751024039916
Great Britain,0.2352615017368748
Greece,0.23107503551066458
Guatemala,0.2892329264039852
Honduras,0.3712736684515567
Hong Kong SAR,0.296887775777738
Hungary,0.22201202908081172
Iceland,0.27260156216110265
India,0.27712800228472445
Indonesia,0.2355586081598727
Iran,0.29156874487760015
Iraq,0.25093711186669837
Israel,0.21305458898963991
Italy,0.24168501363066133
Ivory Coast,0.19491595674805387
Japan,0.26552678216987713
Jordan,0.23673613283770262
Kazakhstan,0.2818683469536238
Kenya,0.20933493558973137
Kuwait,0.23037721497545924
Kyrgyzstan,0.3230229134127668
Latvia,0.27204756464527224
Lebanon,0.27019686615944133
Libya,0.30924484134846236
Lithuania,0.2594251926323858
Macau SAR,0.3606677036227225
Malaysia,0.29193927555584465
Maldives,0.28957810872828554
Mali,0.22571974629632496
Mexico,0.2437870565407158
Mongolia,0.2906576919592252
Montenegro,0.27503049072026176
Morocco,0.30801956842915656
Myanmar,0.40628176719032133
Netherlands,0.2698546315201269
New Zealand,0.26157028230148816
Nicaragua,0.3546298126951377
Nigeria,0.2539073659855663
North Macedonia,0.22571112433486096
Northern Ireland,0.2543789934260764
Norway,0.27640673358040796
Pakistan,0.2794291303398257
Palest. ter.,0.19634346324421562
Peru,0.24625657657700462
Philippines,0.26369892948426865
Poland,0.2153179049374586
Portugal,0.30338916732890664
Puerto Rico,0.3248205311269523
Romania,0.22182226674295966
Russia,0.23821498305493968
South Africa,0.2421403228710023
S. Korea,0.25913980322394514
Senegal,0.2646342299773155
Serbia,0.2225437234235582
Singapore,0.30616895593855786
Slovakia,0.23092439508412782
Slovenia,0.2641538095734093
South Korea,0.3520904325434778
Spain,0.2392901026839926
Sweden,0.2817639771117596
Switzerland,0.2724722008626044
Taiwan,0.2577703648
Tajikistan,0.3657107584089692
Tanzania,0.24440569297390852
Thailand,0.26168741180743366
Tunisia,0.2669641818712628
Turkey,0.22095005641894888
Uganda,0.25888497348440587
Ukraine,0.24395570611805012
United States,0.2314635851802542
Uruguay,0.25757255804191426
Uzbekistan,0.2606356776307493
Venezuela,0.29418439799654794
Vietnam,0.2932255496986327
Zimbabwe,0.3073101166572671
